1,3,0,3,0,0
3,3,1,3,0,0
3,4,0,2,1,0
6,2,2,4,0,0
12,3,1,3,1,0
3,4,0,2,2,0
4,2,3,4,0,0
24,3,2,3,1,0
24,4,1,2,2,0
4,5,0,1,3,0
5,1,4,5,0,0
40,2,3,4,1,0
60,3,2,3,2,0
20,4,1,2,3,0
1,5,0,1,4,0
1,0,5,5,0,1
25,1,4,4,1,1
100,2,3,3,2,1
100,3,2,2,3,1
25,4,1,1,4,1
1,5,0,0,5,1
