,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains,NbOppCom
108,29/06/13,3rd Round,Completed,Pironkova T.,Martic P.,1.4,3.55,NA,NA,0,0,0,0
109,29/06/13,3rd Round,Completed,Lisicki S.,Stosur S.,1.71,2.56,0.989986598462491,0.0100134015375087,1,0,0.71,6
110,29/06/13,3rd Round,Completed,Kanepi K.,Riske A.,1.55,2.98,NA,NA,0,0,0,0
111,29/06/13,3rd Round,Completed,Li N.,Zakopalova K.,1.25,4.75,0.845624711366963,0.154375288633037,1,0,0.25,3
112,29/06/13,3rd Round,Completed,Williams S.,Date Krumm K.,1.04,35,0.877909916842886,0.122090083157114,0,0,0,3
113,01/07/13,4th Round,Completed,Kvitova P.,Suarez Navarro C.,1.36,4,0.619150857204247,0.380849142795753,0,0,0,4
114,01/07/13,4th Round,Completed,Flipkens K.,Pennetta F.,1.4,3.75,0.544704384155591,0.455295615844409,0,0,0,2
115,01/07/13,4th Round,Completed,Kanepi K.,Robson L.,1.85,2.23,0.00358357942534748,0.996416420574653,0,1,-1,1
116,01/07/13,4th Round,Completed,Lisicki S.,Williams S.,11.5,1.1,0.927237062868548,0.0727629371314515,1,0,10.5,7
117,01/07/13,4th Round,Completed,Li N.,Vinci R.,1.5,3.45,0.443242168046548,0.556757831953452,0,1,-1,7
118,01/07/13,4th Round,Completed,Stephens S.,Puig M.,1.34,3.75,0.999897402790483,0.000102597209516886,1,0,0.34,1
119,01/07/13,4th Round,Completed,Radwanska A.,Pironkova T.,1.3,4.95,0.575407019533653,0.424592980466347,0,0,0,7
120,01/07/13,4th Round,Completed,Bartoli M.,Knapp K.,1.3,4.33,0.747955167255331,0.252044832744669,0,0,0,2
121,02/07/13,Quarterfinals,Completed,Lisicki S.,Kanepi K.,1.35,4.05,0.976860461126132,0.0231395388738683,1,0,0.35,2
122,02/07/13,Quarterfinals,Completed,Radwanska A.,Li N.,2.51,1.73,0.536608480468194,0.463391519531806,1,0,1.51,7
123,02/07/13,Quarterfinals,Completed,Bartoli M.,Stephens S.,1.91,2.1,0.0152576092793352,0.984742390720665,0,1,-1,1
124,02/07/13,Quarterfinals,Completed,Flipkens K.,Kvitova P.,3.25,1.5,0.42220759076407,0.57779240923593,0,0,0,5
125,04/07/13,Semifinals,Completed,Bartoli M.,Flipkens K.,1.81,2.4,0.549872946551752,0.450127053448248,0,0,0,4
126,04/07/13,Semifinals,Completed,Lisicki S.,Radwanska A.,1.88,2.25,0.959736770094413,0.0402632299055874,1,0,0.88,5
127,06/07/13,The Final,Completed,Bartoli M.,Lisicki S.,2.9,1.53,0.144327033049927,0.855672966950073,0,1,-1,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,ROI : 23 %,,,,,
,,,,,,,,Accuracy : 65 %,,,,,
,,,,,,,,Paris gagnés : 56 %,,,,,
,,,,,,,,Nombre de paris : 41,,,,,
