,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
53,28/05/13,1st Round,Completed,Cibulkova D.,Tsurenko L.,1.27,4.65,NA,NA,0,0,0
54,28/05/13,1st Round,Completed,Erakovic M.,Baltacha E.,1.67,2.64,0.567748835413781,0.432251164586219,0,0,0
55,29/05/13,1st Round,Completed,Barty A.,Hradecka L.,3,1.65,0.0303794905620169,0.969620509437983,0,1,-1
56,29/05/13,1st Round,Completed,Kirilenko M.,Bratchikova N.,1.1,12,0.511242459651086,0.488757540348914,0,0,0
57,29/05/13,1st Round,Completed,Hampton J.,Safarova L.,2.85,1.52,0.221459730213934,0.778540269786066,0,1,-1
58,29/05/13,1st Round,Completed,Kvitova P.,Rezai A.,1.14,8.04,0.658253882181765,0.341746117818235,0,0,0
59,29/05/13,1st Round,Completed,Peng S.,Giorgi C.,1.51,3,NA,NA,0,0,0
60,29/05/13,1st Round,Completed,Schmiedlova A.,Wickmayer Y.,2.6,1.7,NA,NA,0,0,0
61,29/05/13,1st Round,Completed,Azarenka V.,Vesnina E.,1.05,16,0.695208011593121,0.304791988406879,0,0,0
62,29/05/13,1st Round,Completed,Voegele S.,Watson H.,1.5,3.05,0.910882966904443,0.0891170330955567,1,0,0.5
63,29/05/13,1st Round,Completed,Beck A.,Zahlavova S.,1.63,2.88,0.013937880241096,0.986062119758904,0,1,-1
64,29/05/13,1st Round,Completed,Kanepi K.,Zakopalova K.,1.33,4.54,0.827582950554275,0.172417049445725,1,0,0.33
65,29/05/13,2nd Round,Completed,Radwanska A.,Burdette M.,1.15,7.9,NA,NA,0,0,0
66,29/05/13,2nd Round,Completed,Pfizenmaier D.,Radwanska U.,2.62,1.71,NA,NA,0,0,0
67,29/05/13,2nd Round,Completed,Kerber A.,Cepelova J.,1.18,7.31,0.866108533677606,0.133891466322394,1,0,0.18
68,29/05/13,2nd Round,Completed,Lepchenko V.,Svitolina E.,1.32,4.58,0.705292501268116,0.294707498731884,0,0,0
69,29/05/13,2nd Round,Completed,Kuznetsova S.,Rybarikova M.,1.27,4.8,0.620649547843542,0.379350452156458,0,0,0
70,29/05/13,2nd Round,Completed,Suarez Navarro C.,Rogers S.,1.17,7.9,NA,NA,0,0,0
71,29/05/13,2nd Round,Completed,Jovanovski B.,Wozniacki C.,4.1,1.3,0.314490889422615,0.685509110577385,0,0,0
