,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains,NbOppCom
50,27/08/13,1st Round,Completed,Glushko J.,Petrova N.,2.34,1.8,NA,NA,0,0,0,0
51,27/08/13,1st Round,Completed,Hantuchova D.,Sanchez M.,1.31,4.2,0.594745266000062,0.405254733999938,0,0,0,6
52,27/08/13,1st Round,Completed,Vickery S.,Lucic M.,5,1.29,NA,NA,0,0,0,0
53,27/08/13,1st Round,Completed,Svitolina E.,Cibulkova D.,3.7,1.4,0.384696114440362,0.615303885559638,0,0,0,5
54,27/08/13,1st Round,Completed,Errani S.,Rogowska O.,1.13,12,0.740681170190845,0.259318829809155,0,0,0,6
55,27/08/13,1st Round,Completed,Scheepers C.,Simmonds C.,1.42,3.75,0.836593455818057,0.163406544181943,1,0,0.42,1
56,27/08/13,1st Round,Completed,Barthel M.,Larsson J.,1.27,5.39,0.816827296820234,0.183172703179766,1,0,0.27,8
57,27/08/13,1st Round,Completed,Vekic D.,Duque Marino M.,1.42,3.3,NA,NA,0,0,0,0
58,27/08/13,1st Round,Completed,Duval V.,Stosur S.,13,1.12,0.504850528735292,0.495149471264708,1,0,12,1
59,27/08/13,1st Round,Completed,Riske A.,Pironkova T.,1.65,2.65,0.482040324950638,0.517959675049362,0,1,-1,6
60,27/08/13,1st Round,Completed,Wozniak A.,Dolonc V.,1.53,3.1,NA,NA,0,0,0,0
61,27/08/13,1st Round,Completed,Kuznetsova S.,Burdette M.,1.5,3.38,0.0330453718220442,0.966954628177956,0,1,-1,5
62,27/08/13,1st Round,Completed,Halep S.,Watson H.,1.15,11,0.473103839117517,0.526896160882483,0,1,-1,11
63,27/08/13,1st Round,Completed,Peng S.,Meusburger Y.,1.5,3.56,NA,NA,0,0,0,0
64,28/08/13,1st Round,Completed,Azarenka V.,Pfizenmaier D.,1.04,32.25,NA,NA,0,0,0,0
65,28/08/13,2nd Round,Completed,Radwanska A.,Torro Flor M.T.,1.04,21,NA,NA,0,0,0,0
66,28/08/13,2nd Round,Completed,Suarez Navarro C.,Vandeweghe C.,1.3,4.2,0.561623020324513,0.438376979675487,0,0,0,5
67,28/08/13,2nd Round,Completed,Pavlyuchenkova A.,Barty A.,1.25,5.7,0.829288300492117,0.170711699507883,1,0,0.25,2
68,28/08/13,2nd Round,Completed,Li N.,Arvidsson S.,1.09,15.3,0.79399995472679,0.20600004527321,0,0,0,8
69,28/08/13,2nd Round,Completed,Zheng J.,Williams V.,4,1.35,0.170627788279952,0.829372211720048,0,1,-1,12
70,28/08/13,2nd Round,Completed,Robson L.,Garcia C.,1.5,3.28,0.482130185743886,0.517869814256114,0,1,-1,3
71,29/08/13,2nd Round,Completed,Hampton J.,Mladenovic K.,1.37,3.75,0.58725069357615,0.41274930642385,0,0,0,10
72,29/08/13,2nd Round,Completed,Stephens S.,Radwanska U.,1.65,2.62,0.667315056682076,0.332684943317924,1,0,0.65,11
73,29/08/13,2nd Round,Completed,Kerber A.,Bouchard E.,1.38,3.65,0.567968259280623,0.432031740719377,0,0,0,11
74,29/08/13,2nd Round,Completed,Kanepi K.,Schmiedlova A.,1.3,4.05,NA,NA,0,0,0,0
75,29/08/13,2nd Round,Completed,Mchale C.,Svitolina E.,2.62,1.74,0.303337378321344,0.696662621678656,0,1,-1,3
76,29/08/13,2nd Round,Completed,Kuznetsova S.,Peng S.,1.65,2.7,NA,NA,0,0,0,0
77,29/08/13,2nd Round,Completed,Makarova E.,Mattek-Sands B.,1.5,3.2,0.705515792740319,0.294484207259681,1,0,0.5,9
78,29/08/13,2nd Round,Completed,Nara K.,Cirstea S.,4.2,1.35,0.36249131652309,0.63750868347691,0,0,0,5
79,29/08/13,2nd Round,Completed,Lisicki S.,Ormaechea P.,1.15,7.38,0.588345796521369,0.411654203478631,0,0,0,4
80,29/08/13,2nd Round,Completed,Vinci R.,Safarova L.,1.43,3.5,0.750600249408095,0.249399750591905,1,0,0.43,11
81,29/08/13,2nd Round,Completed,Shvedova Y.,Mayr P.,1.27,5,0.784085376052603,0.215914623947397,0,0,0,4
82,29/08/13,2nd Round,Completed,Jankovic J.,Kleybanova A.,1.27,4.95,0.591732238174538,0.408267761825462,0,0,0,6
83,29/08/13,2nd Round,Completed,Pennetta F.,Errani S.,3.75,1.4,0.603258739859183,0.396741260140817,1,0,2.75,14
84,29/08/13,2nd Round,Completed,Cornet A.,Tomljanovic A.,1.4,3.64,0.506804558975892,0.493195441024108,0,0,0,4
85,29/08/13,2nd Round,Completed,Knapp K.,Vesnina E.,3.75,1.36,0.45528254470886,0.54471745529114,0,0,0,8
86,29/08/13,2nd Round,Completed,Williams S.,Voskoboeva G.,1.03,35,0.864435527005327,0.135564472994673,0,0,0,12
87,29/08/13,2nd Round,Completed,Ivanovic A.,Dulgheru A.,1.15,7.75,0.743006829197027,0.256993170802973,0,0,0,7
88,29/08/13,2nd Round,Completed,Halep S.,Vekic D.,1.2,5.51,0.685281581362606,0.314718418637394,0,0,0,2
89,29/08/13,2nd Round,Completed,Kvitova P.,Jovanovski B.,1.32,4.46,0.58975191333568,0.41024808666432,0,0,0,10
90,29/08/13,2nd Round,Completed,Riske A.,Barthel M.,3.1,1.65,0.874751420057476,0.125248579942524,1,0,2.1,7
91,29/08/13,2nd Round,Completed,Glushko J.,Vickery S.,1.61,3.12,NA,NA,0,0,0,0
92,29/08/13,2nd Round,Completed,Kirilenko M.,Larcherde Brito M.,1.22,6.02,0.782839530460572,0.217160469539428,0,0,0,3
93,29/08/13,2nd Round,Completed,Azarenka V.,Wozniak A.,1.05,22.73,0.735660311045102,0.264339688954898,0,0,0,12
94,29/08/13,2nd Round,Completed,Giorgi C.,Hsieh S.W.,1.9,2.15,0.155916537832298,0.844083462167702,0,1,-1,2
95,30/08/13,2nd Round,Completed,Wozniacki C.,Scheepers C.,1.19,6.3,0.662289952286046,0.337710047713954,0,0,0,12
96,30/08/13,2nd Round,Completed,Hantuchova D.,Duval V.,1.48,3.48,NA,NA,0,0,0,0
97,30/08/13,3rd Round,Completed,Radwanska A.,Pavlyuchenkova A.,1.23,5.7,0.764927878768772,0.235072121231228,0,0,0,11
98,30/08/13,3rd Round,Completed,Li N.,Robson L.,1.27,4.84,0.812816899712768,0.187183100287232,1,0,0.27,6
99,30/08/13,3rd Round,Completed,Makarova E.,Lisicki S.,2.26,1.88,0.600545234839879,0.399454765160121,1,0,1.26,14
100,30/08/13,3rd Round,Completed,Jankovic J.,Nara K.,1.26,5,0.720079517947342,0.279920482052658,0,0,0,5
101,30/08/13,3rd Round,Completed,Stephens S.,Hampton J.,1.7,2.7,0.441415199182479,0.558584800817521,0,1,-1,9
102,30/08/13,3rd Round,Completed,Kerber A.,Kanepi K.,1.8,2.4,0.518875490420091,0.481124509579909,0,0,0,11
103,30/08/13,3rd Round,Completed,Suarez Navarro C.,Zheng J.,1.53,3.1,0.453825826494268,0.546174173505731,0,1,-1,9
104,31/08/13,3rd Round,Completed,Williams S.,Shvedova Y.,1.04,25,0.885124831285466,0.114875168714534,0,0,0,7
105,31/08/13,3rd Round,Completed,Halep S.,Kirilenko M.,1.6,2.75,0.561119529862096,0.438880470137904,0,0,0,12
106,31/08/13,3rd Round,Completed,Pennetta F.,Kuznetsova S.,2.48,1.75,0.576959406050831,0.423040593949169,1,0,1.48,12
