,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
52,15/01/13,1st Round,Completed,Vekic D.,Hlavackova A.,2.16,2.15,NA,NA,0,0,0
53,15/01/13,1st Round,Completed,Robson L.,Oudin M.,1.27,5.1,0.978572902717982,0.0214270972820184,1,0,0.27
54,15/01/13,1st Round,Completed,Stephens S.,Halep S.,1.3,4.5,0.516023198836399,0.483976801163601,0,0,0
55,15/01/13,1st Round,Completed,Mladenovic K.,Babos T.,2.05,2,NA,NA,0,0,0
56,15/01/13,1st Round,Completed,Gavrilova D.,Davis L.,3.1,1.49,NA,NA,0,0,0
57,15/01/13,1st Round,Completed,Daniilidou E.,Pliskova Ka.,2.2,1.84,0.527954083184061,0.472045916815939,1,0,1.2
58,15/01/13,1st Round,Completed,Morita A.,Tatishvili A.,1.67,2.6,0.447232905612014,0.552767094387986,0,1,-1
59,15/01/13,1st Round,Completed,Amanmuradova A.,Johansson M.,2,2.09,0.56719824639407,0.43280175360593,1,0,1
60,15/01/13,1st Round,Completed,Kumkhum L.,Arvidsson S.,3.5,1.4,NA,NA,0,0,0
61,15/01/13,1st Round,Completed,Cepelova J.,Arn G.,2.38,1.96,0.348021831348051,0.651978168651949,0,1,-1
62,15/01/13,1st Round,Completed,Tsurenko L.,Pavlyuchenkova A.,4.4,1.36,NA,NA,0,0,0
63,15/01/13,1st Round,Completed,Hampton J.,Radwanska U.,1.57,3.05,0.608724939160418,0.391275060839582,0,0,0
64,15/01/13,1st Round,Completed,Wickmayer Y.,Gajdosova J.,1.43,3.45,NA,NA,0,0,0
65,16/01/13,2nd Round,Completed,Radwanska A.,Begu I.,1.05,19.52,0.741732070905177,0.258267929094823,0,0,0
66,16/01/13,2nd Round,Completed,Savinykh V.,Cibulkova D.,9,1.14,0.428341679774216,0.571658320225784,0,0,0
67,16/01/13,2nd Round,Completed,Flipkens K.,Zakopalova K.,2.4,2.1,0.668643799006303,0.331356200993697,1,0,1.4
68,16/01/13,2nd Round,Completed,Kerber A.,Hradecka L.,1.14,8.52,0.671313874922017,0.328686125077983,0,0,0
69,16/01/13,2nd Round,Completed,Goerges J.,Oprandi R.,1.47,3.14,0.525753512336909,0.474246487663091,0,0,0
70,16/01/13,2nd Round,Completed,Li N.,Govortsova O.,1.07,13,0.784175086204387,0.215824913795613,0,0,0
71,16/01/13,2nd Round,Completed,Keys M.,Paszek T.,1.4,3.52,0.6934693943508,0.3065306056492,0,0,0
72,16/01/13,2nd Round,Completed,Makarova E.,Foretz S.,1.15,8.36,NA,NA,0,0,0
73,16/01/13,2nd Round,Completed,Bartoli M.,Dolonc V.,1.33,4.05,NA,NA,0,0,0
74,16/01/13,2nd Round,Completed,Zheng J.,Stosur S.,3.3,1.43,0.407208928337529,0.592791071662471,0,0,0
75,16/01/13,2nd Round,Completed,Watson H.,Pervak K.,2.74,1.62,0.504362513275712,0.495637486724288,1,0,1.74
76,16/01/13,2nd Round,Completed,Jankovic J.,Koehler M.J.,1.2,5.98,NA,NA,0,0,0
77,16/01/13,2nd Round,Completed,Cirstea S.,Pliskova Kr.,1.59,2.63,0.325595377232243,0.674404622767757,0,1,-1
78,16/01/13,2nd Round,Completed,Ivanovic A.,Chan Y.J.,1.22,5.4,0.597357481812092,0.402642518187908,0,0,0
79,16/01/13,2nd Round,Completed,Sharapova M.,Doi M.,1.03,34,0.906718992180569,0.0932810078194308,0,0,0
80,16/01/13,2nd Round,Completed,Williams V.,Cornet A.,1.1,13,0.888586057351298,0.111413942648702,0,0,0
81,17/01/13,2nd Round,Completed,Vinci R.,Amanmuradova A.,1.17,6.7,0.982217087671706,0.017782912328294,1,0,0.17
82,17/01/13,2nd Round,Completed,Morita A.,Beck A.,2.56,1.73,NA,NA,0,0,0
83,17/01/13,2nd Round,Completed,Vesnina E.,Lepchenko V.,1.5,3.1,0.358383091248641,0.641616908751359,0,1,-1
84,17/01/13,2nd Round,Completed,Kirilenko M.,Peng S.,1.77,2.26,NA,NA,0,0,0
85,17/01/13,2nd Round,Completed,Azarenka V.,Daniilidou E.,1.02,47,0.86716418545401,0.13283581454599,0,0,0
86,17/01/13,2nd Round,Completed,Suarez Navarro C.,Putintseva Y.,1.7,2.75,0.595338310403124,0.404661689596876,0,1,-1
87,17/01/13,2nd Round,Completed,Williams S.,Muguruza G.,1.03,41,NA,NA,0,0,0
88,17/01/13,2nd Round,Completed,Hampton J.,Kumkhum L.,1.25,5.1,0.97159125387569,0.0284087461243103,1,0,0.25
89,17/01/13,2nd Round,Completed,Wickmayer Y.,Cepelova J.,1.33,5.04,0.725685106800972,0.274314893199028,0,0,0
90,17/01/13,2nd Round,Completed,Tsurenko L.,Gavrilova D.,1.37,3.52,NA,NA,0,0,0
91,17/01/13,2nd Round,Completed,Kuznetsova S.,Hsieh S.W.,1.36,3.64,NA,NA,0,0,0
92,17/01/13,2nd Round,Completed,Date Krumm K.,Peer S.,1.44,3.25,0.523193990155101,0.476806009844899,0,0,0
